"Location" "Year" "BaseLinePerHead" "TotalGranted" "Current.LA.code" "Local.authority" "County"
"Hampshire" "2013/14" 25 3341181.81818182 "E07000086" "Eastleigh" "Hampshire"
"Hampshire" "2013/14" 25 3341181.81818182 "E07000087" "Fareham" "Hampshire"
"Hampshire" "2013/14" 25 3341181.81818182 "E07000088" "Gosport" "Hampshire"
"Hampshire" "2013/14" 25 3341181.81818182 "E07000089" "Hart" "Hampshire"
"Hampshire" "2013/14" 25 3341181.81818182 "E07000090" "Havant" "Hampshire"
"Hampshire" "2013/14" 25 3341181.81818182 "E07000091" "New Forest" "Hampshire"
"Hampshire" "2013/14" 25 3341181.81818182 "E07000092" "Rushmoor" "Hampshire"
"Hampshire" "2013/14" 25 3341181.81818182 "E07000093" "Test Valley" "Hampshire"
"Hampshire" "2013/14" 25 3341181.81818182 "E07000094" "Winchester" "Hampshire"
"Hampshire" "2013/14" 25 3341181.81818182 "E07000084" "Basingstoke and Deane" "Hampshire"
"Hampshire" "2013/14" 25 3341181.81818182 "E07000085" "East Hampshire" "Hampshire"
"Kent" "2013/14" 30 4153583.33333333 "E07000105" "Ashford" "Kent"
"Kent" "2013/14" 30 4153583.33333333 "E07000106" "Canterbury" "Kent"
"Kent" "2013/14" 30 4153583.33333333 "E07000107" "Dartford" "Kent"
"Kent" "2013/14" 30 4153583.33333333 "E07000108" "Dover" "Kent"
"Kent" "2013/14" 30 4153583.33333333 "E07000109" "Gravesham" "Kent"
"Kent" "2013/14" 30 4153583.33333333 "E07000110" "Maidstone" "Kent"
"Kent" "2013/14" 30 4153583.33333333 "E07000111" "Sevenoaks" "Kent"
"Kent" "2013/14" 30 4153583.33333333 "E07000112" "Shepway" "Kent"
"Kent" "2013/14" 30 4153583.33333333 "E07000113" "Swale" "Kent"
"Kent" "2013/14" 30 4153583.33333333 "E07000114" "Thanet" "Kent"
"Kent" "2013/14" 30 4153583.33333333 "E07000115" "Tonbridge and Malling" "Kent"
"Kent" "2013/14" 30 4153583.33333333 "E07000116" "Tunbridge Wells" "Kent"
"Oxfordshire" "2013/14" 37 5052800 "E07000177" "Cherwell" "Oxfordshire"
"Oxfordshire" "2013/14" 37 5052800 "E07000178" "Oxford" "Oxfordshire"
"Oxfordshire" "2013/14" 37 5052800 "E07000179" "South Oxfordshire" "Oxfordshire"
"Oxfordshire" "2013/14" 37 5052800 "E07000180" "Vale of White Horse" "Oxfordshire"
"Oxfordshire" "2013/14" 37 5052800 "E07000181" "West Oxfordshire" "Oxfordshire"
"Surrey" "2013/14" 18 2112454.54545455 "E07000207" "Elmbridge" "Surrey"
"Surrey" "2013/14" 18 2112454.54545455 "E07000208" "Epsom and Ewell" "Surrey"
"Surrey" "2013/14" 18 2112454.54545455 "E07000209" "Guildford" "Surrey"
"Surrey" "2013/14" 18 2112454.54545455 "E07000210" "Mole Valley" "Surrey"
"Surrey" "2013/14" 18 2112454.54545455 "E07000211" "Reigate and Banstead" "Surrey"
"Surrey" "2013/14" 18 2112454.54545455 "E07000212" "Runnymede" "Surrey"
"Surrey" "2013/14" 18 2112454.54545455 "E07000213" "Spelthorne" "Surrey"
"Surrey" "2013/14" 18 2112454.54545455 "E07000214" "Surrey Heath" "Surrey"
"Surrey" "2013/14" 18 2112454.54545455 "E07000215" "Tandridge" "Surrey"
"Surrey" "2013/14" 18 2112454.54545455 "E07000216" "Waverley" "Surrey"
"Surrey" "2013/14" 18 2112454.54545455 "E07000217" "Woking" "Surrey"
"West Sussex" "2013/14" 31 3814000 "E07000223" "Adur" "West Sussex"
"West Sussex" "2013/14" 31 3814000 "E07000224" "Arun" "West Sussex"
"West Sussex" "2013/14" 31 3814000 "E07000225" "Chichester" "West Sussex"
"West Sussex" "2013/14" 31 3814000 "E07000226" "Crawley" "West Sussex"
"West Sussex" "2013/14" 31 3814000 "E07000227" "Horsham" "West Sussex"
"West Sussex" "2013/14" 31 3814000 "E07000228" "Mid Sussex" "West Sussex"
"West Sussex" "2013/14" 31 3814000 "E07000229" "Worthing" "West Sussex"
"Bath and North East Somerset" "2013/14" 39 7183000 "E06000022" "Bath and North East Somerset UA" "Somerset"
"Bristol, City of" "2013/14" 57 27313000 NA NA NA
"North Somerset" "2013/14" 33 7381000 "E06000024" "North Somerset UA" "Somerset"
"South Gloucestershire" "2013/14" 23 6677000 "E06000025" "South Gloucestershire UA" "Gloucestershire"
"Plymouth" "2013/14" 39 11160000 "E06000026" "Plymouth UA" "Devon"
"Torbay" "2013/14" 52 7150000 "E06000027" "Torbay UA" "Devon"
"Bournemouth" "2013/14" 36 7542000 "E06000028" "Bournemouth UA" "Dorset"
"Poole" "2013/14" 38 5892000 "E06000029" "Poole UA" "Dorset"
"Swindon" "2013/14" 33 7891000 "E06000030" "Swindon UA" "Wiltshire"
"Cornwall" "2013/14" 32 17839000 "E06000052" "Cornwall UA" "Cornwall and Scilly"
"Isles of Scilly" "2013/14" 30 71000 "E06000053" "Isles of Scilly UA" "Cornwall and Scilly"
"Wiltshire" "2013/14" 25 13261000 "E06000054" "Wiltshire UA" "Wiltshire"
"Devon" "2013/14" 25 2593500 "E07000040" "East Devon" "Devon"
"Devon" "2013/14" 25 2593500 "E07000041" "Exeter" "Devon"
"Devon" "2013/14" 25 2593500 "E07000042" "Mid Devon" "Devon"
"Devon" "2013/14" 25 2593500 "E07000043" "North Devon" "Devon"
"Devon" "2013/14" 25 2593500 "E07000044" "South Hams" "Devon"
"Devon" "2013/14" 25 2593500 "E07000045" "Teignbridge" "Devon"
"Devon" "2013/14" 25 2593500 "E07000046" "Torridge" "Devon"
"Devon" "2013/14" 25 2593500 "E07000047" "West Devon" "Devon"
"Dorset" "2013/14" 29 2089666.66666667 "E07000048" "Christchurch" "Dorset"
"Dorset" "2013/14" 29 2089666.66666667 "E07000049" "East Dorset" "Dorset"
